Date,Open,High,Low,Close,Adj Close,Volume
1981-09-04,1.835938,1.835938,1.804688,1.812500,0.674451,1611200
1981-09-08,1.796875,1.796875,1.765625,1.781250,0.662822,2454400
1981-09-09,1.812500,1.859375,1.812500,1.812500,0.674451,2764800
1981-09-10,1.828125,1.890625,1.828125,1.875000,0.697708,2476800
1981-09-11,1.898438,1.984375,1.898438,1.960938,0.729686,3132800
1981-09-14,1.960938,1.960938,1.937500,1.945313,0.723872,942400
1981-09-15,1.945313,1.976563,1.937500,1.960938,0.729686,2184000
1981-09-16,1.960938,1.976563,1.937500,1.960938,0.729686,3025600
1981-09-17,1.960938,2.000000,1.929688,1.937500,0.720965,3484800
1981-09-18,1.929688,1.929688,1.875000,1.898438,0.706429,3240000
1981-09-21,1.898438,1.968750,1.875000,1.960938,0.729686,4825600
1981-09-22,1.960938,1.968750,1.906250,1.953125,0.726779,4825600
1981-09-23,1.953125,1.953125,1.914063,1.937500,0.720965,2192000
1981-09-24,1.937500,1.992188,1.929688,1.929688,0.718058,2312000
1981-09-25,1.929688,1.968750,1.906250,1.960938,0.729686,2569600
1981-09-28,1.960938,2.093750,1.914063,2.078125,0.773293,6104000
1981-09-29,2.078125,2.093750,2.054688,2.078125,0.773293,3820800
1981-09-30,2.078125,2.078125,2.046875,2.062500,0.767479,2113600
1981-10-01,2.062500,2.109375,2.054688,2.109375,0.784922,3516800
1981-10-02,2.109375,2.132813,2.093750,2.101563,0.782014,7587200
1981-10-05,2.093750,2.093750,2.039063,2.054688,0.764572,3564800
1981-10-06,2.054688,2.062500,2.023438,2.031250,0.755850,2441600
1981-10-07,2.031250,2.109375,2.023438,2.109375,0.784922,2910400
1981-10-08,2.109375,2.187500,2.101563,2.187500,0.813993,3563200
1981-10-09,2.187500,2.187500,2.125000,2.140625,0.796549,5497600
1981-10-12,2.140625,2.164063,2.132813,2.140625,0.796549,2102400
1981-10-13,2.140625,2.164063,2.125000,2.125000,0.790735,1321600
1981-10-14,2.125000,2.132813,2.085938,2.085938,0.776200,1521600
1981-10-15,2.085938,2.140625,2.062500,2.140625,0.796549,3243200
1981-10-16,2.140625,2.140625,2.085938,2.125000,0.790735,2440000
1981-10-19,2.125000,2.203125,2.117188,2.187500,0.813993,2662400
1981-10-20,2.187500,2.273438,2.187500,2.250000,0.837250,3873600
1981-10-21,2.250000,2.257813,2.187500,2.187500,0.813993,2859200
1981-10-22,2.187500,2.296875,2.179688,2.289063,0.851785,3808000
1981-10-23,2.242188,2.242188,2.195313,2.218750,0.825621,3120000
1981-10-26,2.218750,2.234375,2.195313,2.218750,0.825621,2124800
1981-10-27,2.218750,2.250000,2.210938,2.234375,0.831435,2979200
1981-10-28,2.234375,2.250000,2.234375,2.242188,0.834342,921600
1981-10-29,2.242188,2.242188,2.210938,2.242188,0.834342,2590400
1981-10-30,2.242188,2.273438,2.242188,2.273438,0.845971,2089600
1981-11-02,2.289063,2.320313,2.289063,2.320313,0.863414,3884800
1981-11-03,2.320313,2.335938,2.304688,2.320313,0.863414,2515200
1981-11-04,2.312500,2.312500,2.296875,2.296875,0.854692,1761600
1981-11-05,2.296875,2.320313,2.273438,2.281250,0.848878,4062400
1981-11-06,2.273438,2.273438,2.234375,2.234375,0.831435,1616000
1981-11-09,2.234375,2.234375,2.210938,2.218750,0.825621,3139200
1981-11-10,2.218750,2.234375,2.179688,2.195313,0.816900,7491200
1981-11-11,2.195313,2.210938,2.187500,2.203125,0.819806,1619200
1981-11-12,2.203125,2.242188,2.203125,2.203125,0.819806,4564800
1981-11-13,2.203125,2.234375,2.179688,2.187500,0.813993,1379200
1981-11-16,2.148438,2.148438,2.109375,2.132813,0.798663,1641600
1981-11-17,2.140625,2.210938,2.140625,2.203125,0.824993,1174400
